label tags tooltip arrow_style source target width relative as level0
NA "NA NA" NA "curved arrow" 01_1_T2.1_1 NA_conceptsetdataset NA NA NA FALSE
NA "NA NA" NA "curved arrow" 01_2_T2.1_1 NA_output_spells_category NA NA NA FALSE
NA "NA NA" NA "curved arrow" 01_3_T2.1_1 NA_D3_PERSONS NA NA NA FALSE
NA "NA NA" NA "curved arrow" 01_3_T2.1_1 NA_D3_events_DEATH NA NA NA FALSE
NA "NA NA" NA "curved arrow" 01_4_T2.1_1 NA_itemsetdataset NA NA NA FALSE
NA "NA NA" NA "curved arrow" 01_4_T2.1_1 NA_promptsetdataset NA NA NA FALSE
NA "NA NA" NA "curved arrow" 02_1_T2_2 NA_D3_concepts_QC_criteria NA NA NA FALSE
NA "NA NA" NA "curved arrow" 02_2_T3_2 NA_selected_doses NA NA NA FALSE
NA "NA NA" NA "curved arrow" 02_2_T3_2 NA_Flowchart_QC_criteria NA NA NA FALSE
NA "NA NA" NA "curved arrow" 03_1_T2_3 NA_D3_selection_criteria NA NA NA FALSE
NA "NA NA" NA "curved arrow" 03_2_T2_3 NA_persons_doses NA NA NA FALSE
NA "NA NA" NA "curved arrow" 04_1_T3_4 NA_D4_study_population NA NA NA FALSE
NA "NA NA" NA "curved arrow" 04_1_T3_4 NA_Flowchart_basic_exclusion_criteria NA NA NA FALSE
NA "NA NA" NA "curved arrow" 04_1_T3_4 NA_Flowchart_exclusion_criteria NA NA NA FALSE
NA "NA NA" NA "curved arrow" 04_2_T3_4 NA_Flowchart_doses NA NA NA FALSE
NA "NA NA" NA "curved arrow" 04_3_T3_4 NA_number_criteria_excluded.csv NA NA NA FALSE
NA "NA NA" NA "curved arrow" 05_1_T2.2_5 NA_D3_components_OUTCOME_type NA NA NA FALSE
NA "NA NA" NA "curved arrow" 05_1_T2.2_5 NA_D3_events_OUTCOME_type NA NA NA FALSE
NA "NA NA" NA "curved arrow" 05_1_T2.2_5 NA_D3_events_COVID_narrow NA NA NA FALSE
NA "NA NA" NA "curved arrow" 05_2_T2.2_5 NA_D3_eventsSecondary_SECCOMP NA NA NA FALSE
NA "NA NA" NA "curved arrow" 05_3_T2_5 NA_D3_events_ALL_OUTCOMES NA NA NA FALSE
NA "NA NA" NA "curved arrow" 05_4_QC_5 NA_QC_code_counts_in_study_population_OUTCOME_year NA NA NA FALSE
NA "NA NA" NA "curved arrow" 05_5_QC_5 NA_QC_all_components_OUTCOME NA NA NA FALSE
NA "NA NA" NA "curved arrow" 05_6_T2.2_5 NA_D3_study_population_covariates NA NA NA FALSE
NA "NA NA" NA "curved arrow" 05_7_T2.2_5 NA_D3_study_population_DP NA NA NA FALSE
NA "NA NA" NA "curved arrow" 05_8_T2.3_5 NA_D4_study_population_cov NA NA NA FALSE
NA "NA NA" NA "curved arrow" 05_9_T2.3_5 NA_D3_study_population_cov_ALL NA NA NA FALSE
NA "NA NA" NA "curved arrow" 05_12_T2.2_5 NA_D3_covid_episodes NA NA NA FALSE
NA "NA NA" NA "curved arrow" 05_12_T2.2_5 NA_D3_covid_episodes_description NA NA NA FALSE
NA "NA NA" NA "curved arrow" 05_12_T2.2_5 NA_QC_covid_episodes NA NA NA FALSE
NA "NA NA" NA "curved arrow" 05_13_T2.2_5 NA_D3_covid_severity_components_hospitalisation NA NA NA FALSE
NA "NA NA" NA "curved arrow" 05_13_T2.2_5 NA_QC_covid_severity_components_hospitalisation NA NA NA FALSE
NA "NA NA" NA "curved arrow" 05_14_T2.2_5 NA_D3_covid_severity_components_ICU NA NA NA FALSE
NA "NA NA" NA "curved arrow" 05_14_T2.2_5 NA_QC_covid_severity_components_ICU NA NA NA FALSE
NA "NA NA" NA "curved arrow" 05_15_T2.2_5 NA_D3_covid_severity_components_death NA NA NA FALSE
NA "NA NA" NA "curved arrow" 05_15_T2.2_5 NA_QC_covid_severity_components_death NA NA NA FALSE
NA "NA NA" NA "curved arrow" 05_16_T2.3_5 NA_D3_covid_episodes_severity NA NA NA FALSE
NA "NA NA" NA "curved arrow" 05_16_T2.3_5 NA_D3_outcomes_severity_episodes_covid NA NA NA FALSE
NA "NA NA" NA "curved arrow" 06_1_T2_6 NA_D3_study_population_no_risk NA NA NA FALSE
NA "NA NA" NA "curved arrow" 06_1_T2_6 NA_D3_Vaccin_cohort_no_risk NA NA NA FALSE
NA "NA NA" NA "curved arrow" 06_2_T2.2_6 NA_D3_Vaccin_cohort_covariates NA NA NA FALSE
NA "NA NA" NA "curved arrow" 06_3_T2.2_6 NA_D3_Vaccin_cohort_DP NA NA NA FALSE
NA "NA NA" NA "curved arrow" 06_4_T2.3_6 NA_D4_Vaccin_cohort_cov NA NA NA FALSE
